ts,yaw,pitch,roll
61952,-22.937023,3.027254,2.540406
61968,-22.85372,2.5407164,2.071562
61985,-22.302792,2.4448135,1.660581
62017,-21.906532,2.5352156,1.4385391
62032,-21.300423,2.2509236,1.3304026
62048,-20.906942,2.7118409,1.28282
62064,-20.49369,3.2781904,1.3293006
62096,-19.96507,3.4816117,1.4780171
62112,-19.610807,3.7433784,1.5396127
62128,-18.873049,3.6794238,1.3862545
62144,-18.550392,4.0685997,1.422006
62176,-18.030754,4.0329723,1.3786188
62192,-17.609182,3.8667383,1.3809904
62208,-17.543259,3.9288518,1.2872021
62224,-16.916779,4.1807113,1.3093985
62256,-16.502855,4.426264,1.3171935
62272,-16.229565,4.5374594,1.3682432
62288,-16.076681,4.65039,1.3160493
62304,-16.108406,4.779054,1.397003
62336,-15.954141,4.9866776,1.4322187
62353,-15.889173,5.050418,1.4911891
62369,-15.85329,5.0842695,1.4128594
62385,-15.621705,5.198673,1.3212333
62416,-15.619424,5.3357882,1.3249706
62432,-15.499547,5.2195168,1.1772692
62448,-15.795224,5.030776,1.2439452
62464,-15.449177,5.4309473,1.2439457
62496,-15.424815,5.3675632,1.1809733
62512,-15.372632,5.3304214,1.0885847
62528,-15.328801,5.2518563,1.0063195
62544,-15.215782,5.4417977,1.1181589
62576,-15.183752,5.5415597,1.0831894
62592,-15.213482,5.797445,1.002844
62608,-15.200819,5.673572,1.0922624
62624,-15.123621,5.8941717,1.1409304
62656,-15.329819,5.840136,1.1901842
62672,-15.368338,5.808563,1.1073997
62688,-15.293863,5.7460485,1.2245814
62704,-15.271062,5.8776746,1.2528889
62737,-15.313184,6.208916,1.2819415
62753,-15.263979,6.3991213,1.4454974
62768,-15.264893,6.541155,1.5093948
62784,-15.004295,7.329435,1.4654914
62816,-15.213538,7.529425,1.6014695
62832,-15.162648,7.758812,1.7536833
62848,-15.212877,7.881967,1.8324316
62864,-14.968079,8.574897,2.010437
62896,-14.983023,8.720606,2.1189897
62912,-14.944542,9.150423,2.1647022
62928,-14.890339,9.4123745,2.315049
62944,-14.977955,9.750489,2.4725628
62976,-14.767221,10.411146,2.55688
62992,-14.609661,10.797263,2.6894104
63008,-14.438473,11.806544,2.8186946
63024,-14.563964,12.35546,3.287382
63056,-14.318782,13.2293825,3.5325239
63073,-14.03516,13.744596,3.5292125
63088,-13.775274,14.078924,3.6000135
63105,-13.4481535,14.028112,3.4628346
63137,-13.467698,13.543488,3.4617066
63152,-13.424289,13.312141,3.3794138
63168,-13.12424,12.828318,3.1902153
63184,-13.052264,12.409898,3.0772307
63216,-12.822772,12.380158,2.9334269
63232,-12.75693,12.119181,2.8928068
63248,-12.5529785,12.0091305,2.8827064
63264,-12.427944,12.070368,2.8716705
63296,-12.660137,11.699203,3.787162
63312,-12.007251,13.669386,3.0015957
63328,-12.787205,13.795119,4.0093784
63344,-12.182548,14.035019,3.1793334
63376,-13.130282,14.216105,4.120683
63392,-12.056774,13.985163,3.089683
63408,-12.70708,14.149013,3.9191065
63424,-12.013857,13.875775,3.0773866
63456,-12.952223,14.112551,3.8885326
63473,-12.630523,13.61733,4.182807
63489,-12.189344,14.034347,3.0607386
63505,-12.932797,14.437301,4.014977
63536,-12.294178,14.08579,3.2146022
63552,-12.707883,12.968969,3.873451
63568,-12.262706,13.953873,2.981383
63584,-12.429892,13.470859,3.828557
63616,-12.072054,14.739876,2.9932106
63632,-13.07916,15.533057,4.0667343
63648,-12.1944275,15.39146,3.1294
63664,-13.016843,15.946179,4.122362
63696,-12.156897,15.47736,3.0521824
63712,-13.126074,15.403961,3.965757
63728,-12.198695,14.579935,4.17597
63744,-12.239985,14.538164,2.871027
63776,-12.992211,14.168498,3.721533
63792,-11.893955,13.630686,2.6654675
63808,-12.999079,14.201199,3.7173088
63824,-11.954513,13.704478,2.7432022
63856,-13.273813,13.79599,3.7552018
63873,-12.310064,13.26999,3.7831674
63888,-11.964835,13.556918,2.5472226
63904,-12.698518,13.839719,3.5563264
63936,-12.366692,13.098828,3.7846432
63952,-12.5442,12.941784,3.8749938
63968,-12.444124,12.911286,3.8187544
63984,-12.40066,12.841139,3.8060837
64016,-12.280053,12.816186,3.7259316
64032,-12.223908,12.755907,3.7037222
64048,-12.089756,12.595602,3.680353
64064,-13.059222,13.541779,3.8224
64096,-12.136733,12.884454,3.7826018
64112,-12.998631,13.654369,3.8679776
64128,-12.241085,12.878059,3.7461197
64144,-11.994726,12.62815,3.682733
64176,-12.659572,13.808802,3.7976933
64193,-11.899485,12.769589,3.6682549
64208,-12.611555,13.834417,3.7651882
64225,-11.669415,13.339801,3.5989575
64257,-12.455516,13.934818,3.8085036
64272,-11.661003,13.125288,3.6646585
64288,-12.456035,13.854089,3.8323524
64304,-11.72551,12.952803,3.8367207
64336,-12.682907,14.139892,3.8697722
64352,-12.187315,12.450385,3.7596636
64368,-12.662535,13.243151,3.8757489
64384,-11.984676,12.7511635,3.6307395
64416,-12.7478,13.577508,4.96799
64432,-11.807073,13.3469925,3.9803386
64448,-12.698653,13.731569,5.0060463
64464,-11.725497,13.174532,3.9844925
64496,-12.433458,13.516843,4.852674
64512,-11.512911,13.334208,3.823261
64528,-12.497257,13.489317,4.8484564
64544,-11.451357,13.351388,3.8987248
64576,-12.5799885,13.746044,4.8768663
64592,-11.315727,13.570181,3.850091
64609,-12.382862,13.954699,4.800731
64625,-11.3123865,13.635126,3.876062
64656,-12.363299,13.828462,4.8308735
64672,-11.390282,13.690008,3.9292862
64688,-12.211778,13.9088335,4.8561497
64704,-11.517478,13.692205,3.8886118
64736,-12.498346,13.966746,4.8535028
64752,-11.249813,13.602507,3.7481308
64768,-12.279038,14.030491,4.6692047
64784,-11.30953,13.73677,3.7211087
64816,-12.312815,14.060681,4.7551026
64832,-11.639223,13.645114,3.8419847
64848,-12.712557,14.163272,4.7926145
64864,-11.904695,13.266727,3.7865741
64896,-13.144685,13.670367,4.848108
64912,-11.979458,12.672315,3.9305215
64928,-12.580436,13.36933,3.7298887
64944,-11.740286,12.393501,3.6069686
64976,-12.629725,13.734392,3.550775
64993,-11.7842245,13.306435,3.6085067
65009,-12.470611,14.144109,3.588377
